c1,c2,c1_wins,c2_wins,total_games
Cloud,Villager,0,0,0
Cloud,Wario,0,3,3
Cloud,Wii_Fit_Trainer,0,0,0
Cloud,Wolf,2,3,5
Cloud,Yoshi,0,0,0
Cloud,Young_Link,0,0,0
Cloud,Zelda,0,0,0
Cloud,Zero_Suit_Samus,2,0,2
Corrin,Daisy,0,0,0
Corrin,Dark_Pit,0,0,0
Corrin,Dark_Samus,0,0,0
Corrin,Diddy_Kong,0,0,0
Corrin,Donkey_Kong,0,0,0
Corrin,Dr_Mario,0,0,0
Corrin,Duck_Hunt,0,0,0
Corrin,Falco,0,0,0
Corrin,Fox,0,0,0
Corrin,Ganondorf,0,0,0
Corrin,Greninja,0,0,0
Corrin,Hero,0,0,0
Corrin,Ice_Climbers,0,0,0
Corrin,Ike,0,0,0
Corrin,Incineroar,0,0,0
Corrin,Inkling,0,0,0
Corrin,Isabelle,0,0,0
Corrin,Jigglypuff,0,0,0
Corrin,Joker,0,0,0
Corrin,Ken,0,0,0
Corrin,King_Dedede,0,0,0
Corrin,King_K_Rool,0,0,0
Corrin,Kirby,0,0,0
Corrin,Link,0,0,0
Corrin,Little_Mac,0,0,0
Corrin,Lucario,0,0,0
Corrin,Lucas,0,0,0
Corrin,Lucina,0,0,0
Corrin,Luigi,0,0,0
Corrin,Mario,0,0,0
Corrin,Marth,0,0,0
Corrin,Mega_Man,0,0,0
Corrin,Meta_Knight,0,0,0
Corrin,Mewtwo,0,0,0
Corrin,Mii_Brawler,0,0,0
Corrin,Mii_Gunner,0,0,0
Corrin,Mii_Swordfighter,0,0,0
Corrin,Mr_Game_&_Watch,0,2,2
Corrin,Ness,0,0,0
Corrin,Olimar,0,0,0
Corrin,Pac-Man,0,0,0
Corrin,Palutena,0,0,0
Corrin,Peach,0,0,0
Corrin,Pichu,0,0,0
Corrin,Pikachu,0,0,0
Corrin,Piranha_Plant,0,0,0
Corrin,Pit,0,0,0
Corrin,Pokemon_Trainer,0,0,0
Corrin,ROB,0,0,0
Corrin,Richter,0,0,0
Corrin,Ridley,0,0,0
Corrin,Robin,0,0,0
Corrin,Rosalina,0,0,0
Corrin,Roy,0,0,0
Corrin,Ryu,0,0,0
Corrin,Samus,0,0,0
Corrin,Sheik,0,0,0
Corrin,Shulk,0,0,0
Corrin,Simon,0,0,0
Corrin,Snake,0,0,0
Corrin,Sonic,0,0,0
Corrin,Terry,0,0,0
Corrin,Toon_Link,0,0,0
Corrin,Villager,0,0,0
Corrin,Wario,0,0,0
Corrin,Wii_Fit_Trainer,0,0,0
Corrin,Wolf,0,0,0
Corrin,Yoshi,0,0,0
Corrin,Young_Link,0,0,0
Corrin,Zelda,0,0,0
Corrin,Zero_Suit_Samus,0,0,0
Daisy,Dark_Pit,0,0,0
Daisy,Dark_Samus,0,0,0
Daisy,Diddy_Kong,0,0,0
Daisy,Donkey_Kong,0,0,0
Daisy,Dr_Mario,0,0,0
Daisy,Duck_Hunt,0,0,0
Daisy,Falco,0,0,0
Daisy,Fox,3,5,8
Daisy,Ganondorf,0,0,0
